"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year","abs_increment","tile_band","Location"
"55HEV","Blue",0,"True",0,0,0,0,1,0,"55HEV_original",2020,0,"55HEV_B02","Australia"
"55HEV","NIR",5,"False",-3.68219516872776,3.81141115822424,-49.9404860692236,54.0816512554827,0.873442411478136,3.51314839791075,"55HEV_B08_05_I",2020,5,"55HEV_B08","Australia"
"49UCP","Blue",-5,"True",1.64778152314782,1.79066767040304,58.5692674901802,63.1603504308441,0.954452868175288,1.84905464975187,"49UCP_B02_05_D",2020,5,"49UCP_B02","Mongolia"
"55HEV","Blue",-5,"True",2.24350309008494,2.50004192162791,26.2278188655765,32.0565262349781,0.958714777545803,2.40734901594191,"55HEV_B02_05_D",2020,5,"55HEV_B02","Australia"
"49UCP","Green",-5,"True",-1.23296998549677,2.17167547559735,-51.1075838366791,66.8072124735269,0.821747567903179,3.09391249017321,"49UCP_B03_05_D",2020,5,"49UCP_B03","Mongolia"
"55HEV","Green",-5,"True",-0.288225087756039,1.85128348678616,10.7601188595779,31.3920510612742,0.945196503251421,2.35725815671478,"55HEV_B03_05_D",2020,5,"55HEV_B03","Australia"
"49UCP","Red",-5,"True",-2.61407952634539,2.77948933239742,-63.2778211048627,75.9743284269139,0.724616166084809,3.58948962650934,"49UCP_B04_05_D",2020,5,"49UCP_B04","Mongolia"
"55HEV","Red",-5,"True",-2.13780947604317,3.67086665014765,-33.7670620041454,64.6779214774174,0.827023240387484,4.44446406500254,"55HEV_B04_05_D",2020,5,"55HEV_B04","Australia"
"49UCP","NIR",-5,"True",2.82038541970816,3.06232804939346,77.1751923231439,80.6554424820005,0.899445176126803,2.87167348021695,"49UCP_B08_05_D",2020,5,"49UCP_B08","Mongolia"
"55HEV","NIR",-5,"True",0.188776981327678,1.15552073068591,3.33384149456581,18.0994192107087,0.974479941249378,1.63135347792188,"55HEV_B08_05_D",2020,5,"55HEV_B08","Australia"
"49UCP","Blue",10,"False",0.042213613904531,1.3445749291946,8.90825467005373,46.4324909552735,0.925404156908702,2.0933656299605,"49UCP_B02_10_I",2020,10,"49UCP_B02","Mongolia"
"49UCP","Blue",0,"True",0,0,0,0,1,0,"49UCP_original",2020,0,"49UCP_B02","Mongolia"
"55HEV","Blue",10,"False",-0.29830177495529,2.33858725994581,-2.96322199809323,37.0862461841178,0.917257967606323,2.9727590968001,"55HEV_B02_10_I",2020,10,"55HEV_B02","Australia"
"49UCP","Green",10,"False",0.795057987785288,1.64280944239527,4.28318931784109,43.8318586627884,0.916736548461122,2.57330489581531,"49UCP_B03_10_I",2020,10,"49UCP_B03","Mongolia"
"55HEV","Green",10,"False",-2.58316260923455,3.13877965393071,-22.4100954981548,47.4922988659861,0.871831383652466,3.53205513652816,"55HEV_B03_10_I",2020,10,"55HEV_B03","Australia"
"49UCP","Red",10,"False",-1.13540362286816,1.52105798796815,-17.4363830390618,45.1881917605723,0.90504277944512,2.20238477797488,"49UCP_B04_10_I",2020,10,"49UCP_B04","Mongolia"
"55HEV","Red",10,"False",1.70333267956601,2.32717148787677,29.5351493055431,35.9272641094925,0.946957311132449,2.43465737641435,"55HEV_B04_10_I",2020,10,"55HEV_B04","Australia"
"49UCP","NIR",10,"False",1.54914837407931,2.40252072359019,71.1061767536377,80.3787425255943,0.879491700633724,2.46921728262482,"49UCP_B08_10_I",2020,10,"49UCP_B08","Mongolia"
"55HEV","NIR",10,"False",-3.89313104242844,4.04304554211694,-41.2378426544395,51.1745703484597,0.892283860203782,3.47854333521667,"55HEV_B08_10_I",2020,10,"55HEV_B08","Australia"
"49UCP","Blue",-10,"True",-1.35964708300482,2.1591644670141,-43.0357088820593,63.239667690999,0.812136654633347,3.04567828999013,"49UCP_B02_10_D",2020,10,"49UCP_B02","Mongolia"
"55HEV","Blue",-10,"True",1.25702998033725,2.6356544134957,-0.791810729660633,36.6149840704243,0.948633701917406,3.2822788840211,"55HEV_B02_10_D",2020,10,"55HEV_B02","Australia"
"49UCP","Green",-10,"True",-0.682612694284035,1.60711467352875,-19.3961050360503,47.7484808784109,0.885780198816071,2.42708435741202,"49UCP_B03_10_D",2020,10,"49UCP_B03","Mongolia"
"49UCP","Blue",5,"False",-1.00507496342649,1.57897174061966,5.11566618319789,51.5633578200072,0.902275191062652,2.29382863789234,"49UCP_B02_05_I",2020,5,"49UCP_B02","Mongolia"
"55HEV","Green",-10,"True",-1.06738203550211,2.48479554670362,8.42828536267743,41.1549416594366,0.927650153117091,2.8428207632622,"55HEV_B03_10_D",2020,10,"55HEV_B03","Australia"
"49UCP","Red",-10,"True",-0.837589093399257,1.65471505734146,-3.44907626818871,48.6294520056676,0.869616786373819,2.56962073227969,"49UCP_B04_10_D",2020,10,"49UCP_B04","Mongolia"
"55HEV","Red",-10,"True",2.43595291755264,2.74717517143004,40.3045358968307,42.966075609919,0.950023631092963,2.28419289258851,"55HEV_B04_10_D",2020,10,"55HEV_B04","Australia"
"49UCP","NIR",-10,"True",2.69136093821152,3.0205736256816,83.417997301239,86.9119792204363,0.900612371503893,2.26196190598383,"49UCP_B08_10_D",2020,10,"49UCP_B08","Mongolia"
